date,channel,campaign_type,product,impressions,clicks,conversions,spend,revenue,ctr,conversion_rate,cac,roas,profit
2024-07-02,Affiliate Marketing,Product Launch,Premium Plan,8246,508,56,512.4,9072.1,6.16,11.02,9.15,17.71,8559.7
2024-07-02,Referral,Flash Sale,Starter Kit,4534,339,51,134.2,7495.98,7.48,15.04,2.63,55.86,7361.78
2024-07-03,Google Ads,Seasonal Promotion,Premium Plan,9282,369,30,919.94,3784.91,3.98,8.13,30.66,4.11,2864.97
2024-07-03,Facebook Ads,Retargeting,Premium Plan,14413,329,22,809.82,2875.48,2.28,6.69,36.81,3.55,2065.66
2024-07-03,Instagram Ads,Seasonal Promotion,Enterprise Plan,12672,549,34,824.87,4085.76,4.33,6.19,24.26,4.95,3260.89
2024-07-03,LinkedIn Ads,Flash Sale,Add-on Service,3524,102,13,1055.76,2901.35,2.89,12.75,81.21,2.75,1845.59
2024-07-03,Email Marketing,Product Launch,Add-on Service,15174,3249,378,177.94,44348.94,21.41,11.63,0.47,249.24,44171.0
2024-07-03,Organic Search,Lead Generation,Premium Plan,27979,2229,346,0.0,42892.15,7.97,15.52,0.0,0.0,42892.15
2024-07-03,Display Ads,Brand Awareness,Basic Plan,21705,266,5,991.13,497.4,1.23,1.88,198.23,0.5,-493.73
2024-07-03,YouTube Ads,Product Launch,Premium Plan,16653,385,22,1110.62,2180.96,2.31,5.71,50.48,1.96,1070.34
2024-07-03,Twitter Ads,Lead Generation,Premium Plan,9344,187,6,428.64,428.83,2.0,3.21,71.44,1.0,0.19
2024-07-03,TikTok Ads,Retargeting,Enterprise Plan,20337,742,47,694.37,3759.85,3.65,6.33,14.77,5.41,3065.48
2024-07-03,Affiliate Marketing,Retargeting,Enterprise Plan,5212,324,41,326.35,5314.99,6.22,12.65,7.96,16.29,4988.64
2024-07-03,Referral,Lead Generation,Enterprise Plan,3316,206,35,74.32,5018.62,6.21,16.99,2.12,67.53,4944.3
2024-07-04,Google Ads,Product Launch,Basic Plan,8194,384,34,773.05,5834.86,4.69,8.85,22.74,7.55,5061.81
2024-07-04,Facebook Ads,Flash Sale,Enterprise Plan,11967,300,17,678.41,2376.55,2.51,5.67,39.91,3.5,1698.14
2024-07-04,Instagram Ads,Flash Sale,Premium Plan,9284,395,22,493.95,1897.1,4.25,5.57,22.45,3.84,1403.15
2024-07-04,LinkedIn Ads,Seasonal Promotion,Basic Plan,2883,76,9,964.12,2902.05,2.64,11.84,107.12,3.01,1937.93
2024-07-04,Email Marketing,Seasonal Promotion,Basic Plan,19423,3136,267,239.64,41916.12,16.15,8.51,0.9,174.91,41676.48
2024-07-04,Organic Search,Lead Generation,Starter Kit,17154,1286,166,0.0,24410.22,7.5,12.91,0.0,0.0,24410.22
2024-07-04,Display Ads,Retargeting,Enterprise Plan,32936,609,19,634.58,1900.8,1.85,3.12,33.4,3.0,1266.22
2024-07-04,YouTube Ads,Flash Sale,Add-on Service,20389,393,30,878.64,3188.65,1.93,7.63,29.29,3.63,2310.01
2024-07-04,Twitter Ads,Lead Generation,Enterprise Plan,10879,297,13,634.3,1488.08,2.73,4.38,48.79,2.35,853.78
2024-07-04,TikTok Ads,Brand Awareness,Basic Plan,22566,698,22,722.77,2159.23,3.09,3.15,32.85,2.99,1436.46
2024-07-04,Affiliate Marketing,Brand Awareness,Enterprise Plan,8094,462,57,575.61,6895.25,5.71,12.34,10.1,11.98,6319.64
2024-07-04,Referral,Retargeting,Enterprise Plan,4331,240,35,76.62,5376.56,5.54,14.58,2.19,70.17,5299.94
2024-07-05,Google Ads,Brand Awareness,Basic Plan,9985,481,54,1102.08,9639.26,4.82,11.23,20.41,8.75,8537.18
2024-07-05,Facebook Ads,Seasonal Promotion,Enterprise Plan,12247,464,38,670.72,3755.14,3.79,8.19,17.65,5.6,3084.42
2024-07-05,Instagram Ads,Lead Generation,Starter Kit,12506,411,31,836.0,2819.31,3.29,7.54,26.97,3.37,1983.31
2024-07-05,LinkedIn Ads,Retargeting,Starter Kit,4216,123,15,1099.01,3874.69,2.92,12.2,73.27,3.53,2775.68
2024-07-05,Email Marketing,Lead Generation,Enterprise Plan,20677,4790,435,148.06,72196.27,23.17,9.08,0.34,487.61,72048.21
2024-07-05,Organic Search,Lead Generation,Basic Plan,29079,1813,235,0.0,31102.56,6.23,12.96,0.0,0.0,31102.56
2024-07-05,Display Ads,Flash Sale,Add-on Service,26089,396,9,1090.05,732.25,1.52,2.27,121.12,0.67,-357.8
2024-07-05,YouTube Ads,Seasonal Promotion,Enterprise Plan,13063,340,17,1133.93,1544.01,2.6,5.0,66.7,1.36,410.08
2024-07-05,Twitter Ads,Flash Sale,Add-on Service,7954,166,8,439.41,784.58,2.09,4.82,54.93,1.79,345.17
2024-07-05,TikTok Ads,Retargeting,Add-on Service,19689,556,16,815.46,1500.52,2.82,2.88,50.97,1.84,685.06
2024-07-05,Affiliate Marketing,Retargeting,Enterprise Plan,4678,309,27,298.31,3064.65,6.61,8.74,11.05,10.27,2766.34
2024-07-05,Referral,Lead Generation,Basic Plan,5536,527,86,118.64,14761.17,9.52,16.32,1.38,124.42,14642.53
2024-07-06,Google Ads,Seasonal Promotion,Starter Kit,6875,280,30,603.83,4629.86,4.07,10.71,20.13,7.67,4026.03
2024-07-06,Facebook Ads,Brand Awareness,Premium Plan,8136,215,16,644.98,2182.4,2.64,7.44,40.31,3.38,1537.42
2024-07-06,Instagram Ads,Brand Awareness,Basic Plan,8628,293,19,546.62,1627.69,3.4,6.48,28.77,2.98,1081.07
2024-07-06,LinkedIn Ads,Flash Sale,Basic Plan,2998,88,10,684.57,3304.37,2.94,11.36,68.46,4.83,2619.8
2024-07-06,Email Marketing,Flash Sale,Starter Kit,9035,2043,178,82.87,28160.47,22.61,8.71,0.47,339.82,28077.6
2024-07-06,Organic Search,Seasonal Promotion,Premium Plan,18602,1309,170,0.0,21604.9,7.04,12.99,0.0,0.0,21604.9
2024-07-06,Display Ads,Retargeting,Starter Kit,22008,280,7,760.42,539.02,1.27,2.5,108.63,0.71,-221.4
2024-07-06,YouTube Ads,Seasonal Promotion,Starter Kit,9504,204,8,517.62,995.33,2.15,3.92,64.7,1.92,477.71
2024-07-06,Twitter Ads,Seasonal Promotion,Enterprise Plan,7701,195,10,372.63,767.3,2.53,5.13,37.26,2.06,394.67
2024-07-06,TikTok Ads,Seasonal Promotion,Premium Plan,12837,439,19,451.18,1684.26,3.42,4.33,23.75,3.73,1233.08
2024-07-06,Affiliate Marketing,Flash Sale,Premium Plan,5013,290,25,234.15,2417.18,5.78,8.62,9.37,10.32,2183.03
2024-07-06,Referral,Flash Sale,Add-on Service,2250,131,22,81.95,3272.43,5.82,16.79,3.72,39.93,3190.48
2024-07-07,Google Ads,Product Launch,Enterprise Plan,6841,292,26,845.05,4674.33,4.27,8.9,32.5,5.53,3829.28
2024-07-07,Facebook Ads,Brand Awareness,Enterprise Plan,11890,399,29,510.18,3073.59,3.36,7.27,17.59,6.02,2563.41
2024-07-07,Instagram Ads,Retargeting,Basic Plan,9445,348,13,514.31,1205.59,3.68,3.74,39.56,2.34,691.28
2024-07-07,LinkedIn Ads,Retargeting,Premium Plan,2172,54,7,700.18,2044.38,2.49,12.96,100.03,2.92,1344.2
2024-07-07,Email Marketing,Flash Sale,Enterprise Plan,9979,1850,192,73.2,28393.7,18.54,10.38,0.38,387.89,28320.5
2024-07-07,Organic Search,Seasonal Promotion,Basic Plan,17443,992,158,0.0,15610.16,5.69,15.93,0.0,0.0,15610.16
2024-07-07,Display Ads,Seasonal Promotion,Premium Plan,20769,220,4,621.37,431.47,1.06,1.82,155.34,0.69,-189.9
2024-07-07,YouTube Ads,Flash Sale,Enterprise Plan,14662,327,20,740.07,2266.61,2.23,6.12,37.0,3.06,1526.54
2024-07-07,Twitter Ads,Flash Sale,Add-on Service,4936,135,4,412.84,327.57,2.74,2.96,103.21,0.79,-85.27
2024-07-07,TikTok Ads,Seasonal Promotion,Basic Plan,15192,396,13,357.28,1463.49,2.61,3.28,27.48,4.1,1106.21
2024-07-07,Affiliate Marketing,Lead Generation,Enterprise Plan,3844,211,23,300.02,2235.23,5.49,10.9,13.04,7.45,1935.21
2024-07-07,Referral,Lead Generation,Add-on Service,1993,157,27,111.1,3279.4,7.88,17.2,4.11,29.52,3168.3
2024-07-08,Google Ads,Seasonal Promotion,Premium Plan,10347,384,35,989.72,4652.79,3.71,9.11,28.28,4.7,3663.07
2024-07-08,Facebook Ads,Seasonal Promotion,Enterprise Plan,13841,417,34,951.68,3328.8,3.01,8.15,27.99,3.5,2377.12
2024-07-08,Instagram Ads,Retargeting,Premium Plan,13429,392,17,780.48,1785.3,2.92,4.34,45.91,2.29,1004.82
2024-07-08,LinkedIn Ads,Brand Awareness,Enterprise Plan,3999,93,13,1213.68,3697.92,2.33,13.98,93.36,3.05,2484.24
2024-07-08,Email Marketing,Product Launch,Basic Plan,13418,2776,348,223.01,44449.75,20.69,12.54,0.64,199.32,44226.74
2024-07-08,Organic Search,Brand Awareness,Basic Plan,26876,1202,143,0.0,20262.33,4.47,11.9,0.0,0.0,20262.33
2024-07-08,Display Ads,Seasonal Promotion,Premium Plan,28955,415,16,818.24,1436.44,1.43,3.86,51.14,1.76,618.2
2024-07-08,YouTube Ads,Brand Awareness,Starter Kit,16677,425,21,1001.69,2569.86,2.55,4.94,47.7,2.57,1568.17
2024-07-08,Twitter Ads,Brand Awareness,Add-on Service,11023,226,9,617.66,937.08,2.05,3.98,68.63,1.52,319.42
2024-07-08,TikTok Ads,Lead Generation,Basic Plan,16009,561,16,803.98,1525.84,3.5,2.85,50.25,1.9,721.86
2024-07-08,Affiliate Marketing,Flash Sale,Starter Kit,7789,315,28,395.9,4433.47,4.04,8.89,14.14,11.2,4037.57
2024-07-08,Referral,Seasonal Promotion,Basic Plan,3887,272,34,167.13,5818.83,7.0,12.5,4.92,34.82,5651.7
2024-07-09,Google Ads,Product Launch,Add-on Service,9158,284,25,741.74,3132.77,3.1,8.8,29.67,4.22,2391.03
2024-07-09,Facebook Ads,Seasonal Promotion,Starter Kit,15078,358,22,1007.2,2502.51,2.37,6.15,45.78,2.48,1495.31
2024-07-09,Instagram Ads,Lead Generation,Add-on Service,9460,389,19,614.69,1879.53,4.11,4.88,32.35,3.06,1264.84
2024-07-09,LinkedIn Ads,Flash Sale,Basic Plan,4122,118,13,863.75,3936.01,2.86,11.02,66.44,4.56,3072.26
2024-07-09,Email Marketing,Flash Sale,Enterprise Plan,21079,3884,465,102.43,50363.48,18.43,11.97,0.22,491.69,50261.05
2024-07-09,Organic Search,Retargeting,Enterprise Plan,17056,1093,130,0.0,18388.01,6.41,11.89,0.0,0.0,18388.01
2024-07-09,Display Ads,Retargeting,Add-on Service,22610,249,7,825.71,885.1,1.1,2.81,117.96,1.07,59.39
2024-07-09,YouTube Ads,Retargeting,Premium Plan,21034,573,45,787.83,5075.23,2.72,7.85,17.51,6.44,4287.4
2024-07-09,Twitter Ads,Lead Generation,Basic Plan,7216,223,8,512.06,605.78,3.09,3.59,64.01,1.18,93.72
2024-07-09,TikTok Ads,Brand Awareness,Enterprise Plan,24558,838,30,638.52,2217.63,3.41,3.58,21.28,3.47,1579.11
2024-07-09,Affiliate Marketing,Brand Awareness,Add-on Service,5578,373,46,284.72,6278.26,6.69,12.33,6.19,22.05,5993.54
2024-07-09,Referral,Seasonal Promotion,Basic Plan,5811,366,62,58.94,9311.28,6.3,16.94,0.95,157.98,9252.34
2024-07-10,Google Ads,Seasonal Promotion,Basic Plan,11651,572,66,1094.57,7901.22,4.91,11.54,16.58,7.22,6806.65
2024-07-10,Facebook Ads,Brand Awareness,Premium Plan,14052,286,18,905.69,2059.39,2.04,6.29,50.32,2.27,1153.7
2024-07-10,Instagram Ads,Flash Sale,Premium Plan,9268,406,25,654.59,1846.19,4.38,6.16,26.18,2.82,1191.6
2024-07-10,LinkedIn Ads,Lead Generation,Premium Plan,4686,124,16,1444.9,4464.73,2.65,12.9,90.31,3.09,3019.83
2024-07-10,Email Marketing,Brand Awareness,Enterprise Plan,18620,3356,396,144.5,57774.54,18.02,11.8,0.36,399.82,57630.04
2024-07-10,Organic Search,Brand Awareness,Add-on Service,18905,1271,192,0.0,19610.68,6.72,15.11,0.0,0.0,19610.68
2024-07-10,Display Ads,Lead Generation,Enterprise Plan,29175,368,16,812.66,1758.03,1.26,4.35,50.79,2.16,945.37
2024-07-10,YouTube Ads,Flash Sale,Starter Kit,14372,319,12,961.36,1732.27,2.22,3.76,80.11,1.8,770.91
2024-07-10,Twitter Ads,Lead Generation,Add-on Service,10660,258,11,434.98,917.23,2.42,4.26,39.54,2.11,482.25
2024-07-10,TikTok Ads,Lead Generation,Add-on Service,16744,692,23,788.8,2087.61,4.13,3.32,34.3,2.65,1298.81
2024-07-10,Affiliate Marketing,Seasonal Promotion,Starter Kit,5930,380,43,444.0,5304.03,6.41,11.32,10.33,11.95,4860.03
2024-07-10,Referral,Lead Generation,Starter Kit,3900,266,37,111.79,4868.48,6.82,13.91,3.02,43.55,4756.69
2024-07-11,Google Ads,Retargeting,Basic Plan,10889,473,52,1014.32,9406.29,4.34,10.99,19.51,9.27,8391.97
2024-07-11,Facebook Ads,Brand Awareness,Premium Plan,16202,635,35,600.55,5025.61,3.92,5.51,17.16,8.37,4425.06
2024-07-11,Instagram Ads,Flash Sale,Starter Kit,14702,405,19,821.31,1987.15,2.75,4.69,43.23,2.42,1165.84
2024-07-11,LinkedIn Ads,Product Launch,Starter Kit,3252,69,6,911.2,2047.34,2.12,8.7,151.87,2.25,1136.14
2024-07-11,Email Marketing,Retargeting,Starter Kit,20958,4336,446,213.72,57012.33,20.69,10.29,0.48,266.76,56798.61
2024-07-11,Organic Search,Flash Sale,Premium Plan,29605,1973,305,0.0,37435.48,6.66,15.46,0.0,0.0,37435.48
2024-07-11,Display Ads,Flash Sale,Premium Plan,25173,374,8,1004.35,754.58,1.49,2.14,125.54,0.75,-249.77
2024-07-11,YouTube Ads,Brand Awareness,Starter Kit,15753,273,19,838.63,2292.31,1.73,6.96,44.14,2.73,1453.68
2024-07-11,Twitter Ads,Flash Sale,Enterprise Plan,8643,185,7,677.17,692.78,2.14,3.78,96.74,1.02,15.61
2024-07-11,TikTok Ads,Brand Awareness,Basic Plan,18069,573,28,770.6,3145.86,3.17,4.89,27.52,4.08,2375.26
2024-07-11,Affiliate Marketing,Lead Generation,Basic Plan,4820,277,34,477.08,4303.08,5.75,12.27,14.03,9.02,3826.0
2024-07-11,Referral,Seasonal Promotion,Starter Kit,5916,520,92,163.09,13038.51,8.79,17.69,1.77,79.95,12875.42
2024-07-12,Google Ads,Lead Generation,Starter Kit,10709,378,39,912.1,5179.82,3.53,10.32,23.39,5.68,4267.72
2024-07-12,Facebook Ads,Lead Generation,Enterprise Plan,12768,430,28,722.05,3044.32,3.37,6.51,25.79,4.22,2322.27
2024-07-12,Instagram Ads,Retargeting,Basic Plan,11704,372,16,611.77,1690.11,3.18,4.3,38.24,2.76,1078.34
2024-07-12,LinkedIn Ads,Brand Awareness,Starter Kit,3862,74,10,1355.41,2717.11,1.92,13.51,135.54,2.0,1361.7
2024-07-12,Email Marketing,Seasonal Promotion,Premium Plan,21173,4590,415,183.64,69845.45,21.68,9.04,0.44,380.34,69661.81
2024-07-12,Organic Search,Brand Awareness,Add-on Service,20010,1297,189,0.0,24067.8,6.48,14.57,0.0,0.0,24067.8
2024-07-12,Display Ads,Brand Awareness,Premium Plan,22379,314,7,650.91,838.82,1.4,2.23,92.99,1.29,187.91
2024-07-12,YouTube Ads,Lead Generation,Basic Plan,19555,377,24,826.28,2890.71,1.93,6.37,34.43,3.5,2064.43
2024-07-12,Twitter Ads,Retargeting,Starter Kit,11622,312,17,548.94,1763.51,2.68,5.45,32.29,3.21,1214.57
2024-07-12,TikTok Ads,Retargeting,Basic Plan,17086,685,33,528.98,2816.81,4.01,4.82,16.03,5.32,2287.83
2024-07-12,Affiliate Marketing,Retargeting,Premium Plan,4891,339,41,298.7,4267.47,6.93,12.09,7.29,14.29,3968.77
2024-07-12,Referral,Lead Generation,Starter Kit,3966,264,40,100.44,6210.92,6.66,15.15,2.51,61.84,6110.48
2024-07-13,Google Ads,Brand Awareness,Starter Kit,6484,223,22,811.74,3254.96,3.44,9.87,36.9,4.01,2443.22
2024-07-13,Facebook Ads,Product Launch,Starter Kit,7183,176,10,490.02,1023.09,2.45,5.68,49.0,2.09,533.07
2024-07-13,Instagram Ads,Product Launch,Starter Kit,8880,286,13,497.48,1080.8,3.22,4.55,38.27,2.17,583.32
2024-07-13,LinkedIn Ads,Flash Sale,Add-on Service,2413,67,9,1060.82,2984.18,2.78,13.43,117.87,2.81,1923.36
2024-07-13,Email Marketing,Flash Sale,Starter Kit,13383,2091,269,118.38,29371.57,15.62,12.86,0.44,248.11,29253.19
2024-07-13,Organic Search,Lead Generation,Basic Plan,15096,977,144,0.0,17568.95,6.47,14.74,0.0,0.0,17568.95
2024-07-13,Display Ads,Product Launch,Basic Plan,22806,398,9,439.54,929.0,1.75,2.26,48.84,2.11,489.46
2024-07-13,YouTube Ads,Brand Awareness,Add-on Service,9761,252,19,801.54,2609.74,2.58,7.54,42.19,3.26,1808.2
2024-07-13,Twitter Ads,Flash Sale,Add-on Service,6544,214,6,273.35,594.35,3.27,2.8,45.56,2.17,321.0
2024-07-13,TikTok Ads,Brand Awareness,Enterprise Plan,14900,431,17,654.3,1474.78,2.89,3.94,38.49,2.25,820.48
2024-07-13,Affiliate Marketing,Brand Awareness,Premium Plan,5400,346,36,403.9,4296.89,6.41,10.4,11.22,10.64,3892.99
2024-07-13,Referral,Seasonal Promotion,Starter Kit,3426,251,38,112.57,6220.39,7.33,15.14,2.96,55.26,6107.82
2024-07-14,Google Ads,Seasonal Promotion,Add-on Service,7763,333,36,853.34,6043.06,4.29,10.81,23.7,7.08,5189.72
2024-07-14,Facebook Ads,Lead Generation,Premium Plan,9783,245,14,567.77,1283.41,2.5,5.71,40.56,2.26,715.64
2024-07-14,Instagram Ads,Seasonal Promotion,Premium Plan,9646,265,11,558.86,1051.67,2.75,4.15,50.81,1.88,492.81
2024-07-14,LinkedIn Ads,Lead Generation,Premium Plan,2963,68,7,539.39,1508.75,2.29,10.29,77.06,2.8,969.36
2024-07-14,Email Marketing,Seasonal Promotion,Premium Plan,14086,2555,328,91.17,37725.87,18.14,12.84,0.28,413.8,37634.7
2024-07-14,Organic Search,Flash Sale,Basic Plan,15982,1041,124,0.0,14893.68,6.51,11.91,0.0,0.0,14893.68
2024-07-14,Display Ads,Retargeting,Premium Plan,16376,284,7,710.91,618.51,1.73,2.46,101.56,0.87,-92.4
2024-07-14,YouTube Ads,Seasonal Promotion,Basic Plan,12530,368,27,732.75,3300.98,2.94,7.34,27.14,4.5,2568.23
2024-07-14,Twitter Ads,Seasonal Promotion,Add-on Service,5278,114,5,405.1,510.17,2.16,4.39,81.02,1.26,105.07
2024-07-14,TikTok Ads,Brand Awareness,Add-on Service,11234,436,24,566.42,2285.09,3.88,5.5,23.6,4.03,1718.67
2024-07-14,Affiliate Marketing,Brand Awareness,Starter Kit,4780,263,30,211.57,3522.4,5.5,11.41,7.05,16.65,3310.83
2024-07-14,Referral,Flash Sale,Add-on Service,4119,245,33,74.84,5318.35,5.95,13.47,2.27,71.06,5243.51
2024-07-15,Google Ads,Seasonal Promotion,Add-on Service,11939,504,49,1056.45,8556.58,4.22,9.72,21.56,8.1,7500.13
2024-07-15,Facebook Ads,Product Launch,Enterprise Plan,11771,249,14,981.58,1469.86,2.12,5.62,70.11,1.5,488.28
2024-07-15,Instagram Ads,Lead Generation,Enterprise Plan,10067,324,18,443.44,1670.9,3.22,5.56,24.64,3.77,1227.46
2024-07-15,LinkedIn Ads,Lead Generation,Enterprise Plan,3000,50,6,1326.02,1777.37,1.67,12.0,221.0,1.34,451.35
2024-07-15,Email Marketing,Retargeting,Basic Plan,16237,3571,338,238.58,40285.6,21.99,9.47,0.71,168.86,40047.02
2024-07-15,Organic Search,Flash Sale,Enterprise Plan,26973,1922,243,0.0,30859.03,7.13,12.64,0.0,0.0,30859.03
2024-07-15,Display Ads,Retargeting,Enterprise Plan,22099,266,6,659.09,555.6,1.2,2.26,109.85,0.84,-103.49
2024-07-15,YouTube Ads,Brand Awareness,Premium Plan,18750,465,30,696.86,2905.17,2.48,6.45,23.23,4.17,2208.31
2024-07-15,Twitter Ads,Retargeting,Add-on Service,8808,229,11,465.0,1121.0,2.6,4.8,42.27,2.41,656.0
2024-07-15,TikTok Ads,Seasonal Promotion,Premium Plan,17248,751,32,919.48,3209.03,4.35,4.26,28.73,3.49,2289.55
2024-07-15,Affiliate Marketing,Brand Awareness,Add-on Service,4922,269,28,498.27,3208.95,5.47,10.41,17.8,6.44,2710.68
2024-07-15,Referral,Lead Generation,Add-on Service,2795,144,22,78.08,3202.05,5.15,15.28,3.55,41.01,3123.97
2024-07-16,Google Ads,Product Launch,Basic Plan,8512,255,29,1202.31,5306.41,3.0,11.37,41.46,4.41,4104.1
2024-07-16,Facebook Ads,Product Launch,Premium Plan,14727,359,19,699.72,2499.22,2.44,5.29,36.83,3.57,1799.5
2024-07-16,Instagram Ads,Lead Generation,Enterprise Plan,10035,345,20,633.22,1927.37,3.44,5.8,31.66,3.04,1294.15
2024-07-16,LinkedIn Ads,Product Launch,Basic Plan,4128,116,17,1300.66,5076.34,2.81,14.66,76.51,3.9,3775.68
2024-07-16,Email Marketing,Retargeting,Add-on Service,21131,4218,347,184.33,40146.49,19.96,8.23,0.53,217.8,39962.16
2024-07-16,Organic Search,Flash Sale,Enterprise Plan,18983,1286,141,0.0,21088.52,6.77,10.96,0.0,0.0,21088.52
2024-07-16,Display Ads,Seasonal Promotion,Add-on Service,26353,433,15,621.12,1667.04,1.64,3.46,41.41,2.68,1045.92
2024-07-16,YouTube Ads,Brand Awareness,Add-on Service,19201,547,39,914.17,4540.35,2.85,7.13,23.44,4.97,3626.18
2024-07-16,Twitter Ads,Product Launch,Premium Plan,11000,326,14,550.89,1450.53,2.96,4.29,39.35,2.63,899.64
2024-07-16,TikTok Ads,Lead Generation,Enterprise Plan,24118,710,28,700.94,2594.82,2.94,3.94,25.03,3.7,1893.88
2024-07-16,Affiliate Marketing,Brand Awareness,Premium Plan,6383,296,28,378.77,4076.54,4.64,9.46,13.53,10.76,3697.77
2024-07-16,Referral,Flash Sale,Add-on Service,4162,234,30,145.92,4737.24,5.62,12.82,4.86,32.46,4591.32
2024-07-17,Google Ads,Lead Generation,Enterprise Plan,10035,396,42,900.57,5621.52,3.95,10.61,21.44,6.24,4720.95
2024-07-17,Facebook Ads,Product Launch,Add-on Service,15310,535,34,872.05,3315.02,3.49,6.36,25.65,3.8,2442.97
2024-07-17,Instagram Ads,Lead Generation,Enterprise Plan,14544,572,37,482.26,3284.53,3.93,6.47,13.03,6.81,2802.27
2024-07-17,LinkedIn Ads,Lead Generation,Enterprise Plan,3456,72,10,827.29,2651.2,2.08,13.89,82.73,3.2,1823.91
2024-07-17,Email Marketing,Seasonal Promotion,Starter Kit,15450,3060,244,126.28,33392.85,19.81,7.97,0.52,264.43,33266.57
2024-07-17,Organic Search,Product Launch,Premium Plan,17574,883,118,0.0,15563.06,5.02,13.36,0.0,0.0,15563.06
2024-07-17,Display Ads,Brand Awareness,Starter Kit,30527,433,11,784.86,1031.72,1.42,2.54,71.35,1.31,246.86
2024-07-17,YouTube Ads,Product Launch,Premium Plan,16932,387,26,904.04,3623.61,2.29,6.72,34.77,4.01,2719.57
2024-07-17,Twitter Ads,Brand Awareness,Enterprise Plan,11039,249,9,407.81,946.44,2.26,3.61,45.31,2.32,538.63
2024-07-17,TikTok Ads,Lead Generation,Enterprise Plan,16674,640,19,723.36,1948.81,3.84,2.97,38.07,2.69,1225.45
2024-07-17,Affiliate Marketing,Lead Generation,Starter Kit,6738,331,33,373.21,3809.32,4.91,9.97,11.31,10.21,3436.11
2024-07-17,Referral,Seasonal Promotion,Starter Kit,3337,328,45,47.24,5759.18,9.83,13.72,1.05,121.91,5711.94
2024-07-18,Google Ads,Seasonal Promotion,Premium Plan,12693,571,66,732.03,10320.83,4.5,11.56,11.09,14.1,9588.8
2024-07-18,Facebook Ads,Brand Awareness,Premium Plan,10460,354,18,813.22,2364.86,3.38,5.08,45.18,2.91,1551.64
2024-07-18,Instagram Ads,Flash Sale,Basic Plan,10007,264,16,802.9,1738.59,2.64,6.06,50.18,2.17,935.69
2024-07-18,LinkedIn Ads,Seasonal Promotion,Premium Plan,3373,53,5,995.72,1417.41,1.57,9.43,199.14,1.42,421.69
2024-07-18,Email Marketing,Product Launch,Add-on Service,18577,4550,583,149.18,91791.36,24.49,12.81,0.26,615.31,91642.18
